id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
1,8,30,1957,1400,12,ZAR,1,F,7.2,U,0     N,N,N,N,
2,8,30,1957,1400,12,ZAR,1,F,9.2,F,0     N,N,N,N,
3,8,30,1957,1400,12,ZAR,1,F,9,U,0     N,N,N,N,
4,8,30,1957,1400,12,ZAR,1,F,11.4,F,0     N,N,N,N,
5,8,30,1957,1400,12,ZAR,1,F,9.5,U,0     N,N,N,N,
6,8,30,1957,1400,12,ZAR,1,F,5.3,F,0     N,N,N,N,
7,8,30,1957,1400,12,ZAR,1,F,9.7,U,0     N,N,N,N,
8,8,30,1957,1400,12,ZAR,1,F,5.6,F,0     N,N,N,N,
9,8,30,1957,1400,12,ZAR,1,F,9.3,U,0     N,N,N,N,
10,8,30,1957,1400,12,ZAR,1,F,8.1,F,0     N,N,N,N,
11,8,30,1957,1400,12,ZAR,1,F,5.4,U,0     N,N,N,N,
12,8,30,1957,1400,12,ZAR,1,F,7.8,F,0     N,N,N,N,
13,8,30,1957,1400,12,ZAR,1,F,3.5,U,0     N,N,N,N,
14,8,30,1957,1400,12,ZAR,1,F,4.1,F,0     N,N,N,N,
15,8,30,1957,1400,12,ZAR,1,F,8.9,U,0     N,N,N,N,
16,8,30,1957,1400,12,ZAR,1,F,6.1,F,0     N,N,N,N,
17,8,30,1957,1400,12,ZAR,1,F,11.7,U,0     N,N,N,N,
18,8,30,1957,1400,12,ZAR,1,F,7.4,F,0     N,N,N,N,
19,8,30,1957,1400,12,ZAR,1,F,6.7,U,0     N,N,N,N,
20,8,30,1957,1400,12,ZAR,1,F,4.7,F,0     N,N,N,N,
21,8,30,1957,1400,12,ZAR,1,F,3.9,U,0     N,N,N,N,
22,8,30,1957,1400,12,ZAR,1,F,8,F,0     N,N,N,N,
23,8,30,1957,1400,12,ZAR,1,F,8.1,U,0     N,N,N,N,
24,8,30,1957,1400,12,ZAR,1,F,8.9,F,0     N,N,N,N,
25,8,30,1957,1400,12,ZAR,1,F,5,U,0     N,N,N,N,
26,8,30,1957,1400,12,ZAR,1,F,6.2,F,0     N,N,N,N,
27,8,30,1957,1400,12,ZAR,1,F,7.5,U,0     N,N,N,N,
28,8,30,1957,1400,12,ZAR,1,F,6.9,F,0     N,N,N,N,
29,8,30,1957,1400,12,ZAR,1,F,7.2,U,0     N,N,N,N,
30,8,30,1957,1400,12,ZAR,1,F,7.2,F,0     N,N,N,N,
31,8,30,1957,1400,12,ZAR,1,F,6.9,U,0     N,N,N,N,
32,8,30,1957,1400,12,ZAR,1,F,7.1,F,0     N,N,N,N,
33,8,30,1957,1400,12,ZAR,1,F,10,U,0     N,N,N,N,
34,8,30,1957,1400,12,ZAR,1,F,7.5,F,0     N,N,N,N,
35,8,30,1957,1400,12,ZAR,1,F,6.5,U,0     N,N,N,N,
